candidate_id,candidate_name,county_fips,latitude,longitude,candidate_type,assumption_source,review_notes,review_status
HRSA-HCSD-BPS-LAL-034893,MAHEC Family Health Center at Givens,37021,35.50413348,-82.51070853,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=600 Barrett Lane, Asheville, NC, 28803-6000. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034895,MAHEC Health Center at Enka/Candler,37021,35.54748427,-82.65784362,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=25 Westridge Market Place, Candler, NC, 28715. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034896,MAHEC  Health Center at Cane Creek,37021,35.48295703,-82.43862651,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=1542 Cane Creek Rd, Fletcher, NC, 28732-7423. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034897,MAHEC Health Center at Deerfield,37021,35.51167125,-82.53451322,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=29 Highbridge Crossing, Asheville, NC, 28803-3496. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034898,MAHEC Health Center at Newbridge,37021,35.63642812,-82.57569921,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=218 Elkwood Avenue, #102, Asheville, NC, 28804-2212. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034899,MAHEC Center for Psychiatry and Mental Wellness,37021,35.561265,-82.5440183,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=125 Hendersonville Rd, Asheville, NC, 28803-2868. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-034900,MAHEC Health Center at Biltmore (FM/IM/Dental),37021,35.56155476,-82.54356048,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=123 Hendersonville Rd, Asheville, NC, 28803-2868. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-035195,NeighborHealth Center Susanne Berger Clinic,37183,35.8165955,-78.70566379,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=2605 Blue Ridge Rd, Suite 225, Raleigh, NC, 27607-6459. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036353,AMG1 Harris Blvd,37119,35.2346693,-80.73392971,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=6010 E W T Harris Blvd, Charlotte, NC, 28215-4084. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036354,AMG3 Monroe Rd,37119,35.13803241,-80.73797456,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=9835 Monroe Rd, Charlotte, NC, 28270-1471. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036355,AMG4 Dallas,37071,35.31626649,-81.16209627,fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Permanent; status=Active; address=824 Lower Dallas Hwy, Dallas, NC, 28034-9368. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036804,MAHEC at A.C. Reynolds Middle School,37021,35.54678312,-82.47629428,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=2 Rocket Dr, Asheville, NC, 28803-9100. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036805,MAHEC at Charles C. Bell Elementary School,37021,35.59049785,-82.49335154,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=90 Maple Springs Rd, Asheville, NC, 28805-2034. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036806,MAHEC at East McDowell Middle,37111,35.68710666,-81.99613469,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=676 State St, Marion, NC, 28752-3698. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036809,MAHEC at Weaverville Elementary School,37021,35.68957743,-82.5627982,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=129 S Main St, Weaverville, NC, 28787-9207. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036810,MAHEC at West Marion Elementary,37111,35.62183313,-82.06014553,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=820 Marler Rd, Marion, NC, 28752-9693. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036811,MAHEC at Nebo Elementary,37111,35.71496999,-81.92922003,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=254 Nebo School Rd, Nebo, NC, 28761-6847. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-036812,MAHEC at West McDowell Middle,37111,35.69879339,-82.03832823,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=346 W McDowell Jr High Sch Rd, Marion, NC, 28752-6203. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037041,MAHEC at Eastfield Global Magnet,37111,35.68621001,-81.98635997,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=170 Eastfield School Rd, Marion, NC, 28752-5664. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037042,MAHEC at McDowell Academy & Early College,37111,35.65624998,-81.96208003,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=54 College Dr, Marion, NC, 28752-8728. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037043,MAHEC at McDowell High School,37111,35.69652012,-82.03627538,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=600 McDowell High Dr, Marion, NC, 28752-9131. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037045,MAHEC at Estes Elementary,37021,35.48788998,-82.53987646,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=275 Overlook Rd, Asheville, NC, 28803-3316. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037046,MAHEC at Fairview Elementary,37021,35.52407831,-82.41090504,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=1355 Charlotte Hwy, Fairview, NC, 28730-1400. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037048,MAHEC at Old Fort Elementary,37111,35.62574941,-82.17933602,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=128 Mauney Ave, Old Fort, NC, 28762. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037090,MAEHC at Asheville High,37021,35.57236398,-82.55197096,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=419 McDowell St, Asheville, NC, 28803-2690. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037091,MAHEC at Koontz Intermediate,37021,35.48406624,-82.53863292,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=305 Overlook Rd, Asheville, NC, 28803-3318. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037094,MAHEC at Nesbitt Discovery Academy,37021,35.60635209,-82.58327335,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=175 Bingham Rd, Asheville, NC, 28806-3800. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037277,MAHEC at A.C. Reynolds High School,37021,35.55119231,-82.47484022,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=1 Rocket Dr, Asheville, NC, 28803. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037781,MAHEC at Haw Creek Elementary,37021,35.59571009,-82.50354862,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=10 Bethesda Rd, Asheville, NC, 28805-1406. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037785,MAHEC at Cane Creek Middle,37021,35.48535257,-82.43364682,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=570 Lower Brush Creek Rd, Fletcher, NC, 28732-8486. This is not a claim that the site currently provides mammography.",reviewed
HRSA-HCSD-BPS-LAL-037788,MAHEC at Evergreen Community Charter,37021,35.60240757,-82.49829124,seasonal_fixed_site_assumption,HRSA Health Center Service Delivery and Look-Alike Sites,"Reviewed HRSA-supported health center site as a planning candidate; health_center_type=Service Delivery Site; location_type=Seasonal; status=Active; address=50 Bell Rd, Asheville, NC, 28805-1538. This is not a claim that the site currently provides mammography.",reviewed
