county_fips,county_name,land_area_sqmi,centroid_lat,centroid_lon,name,total_population,female_50_54,female_55_59,female_60_61,female_62_64,female_65_66,female_67_69,female_70_74,population_below_poverty,poverty_universe,households_no_vehicle,households_vehicle_universe,state,county,eligible_population,poverty_pct,no_vehicle_pct,population_density_per_sqmi,rurality_index,high_risk_index
37051,Cumberland County,652.566,35.050192,-78.828719,"Cumberland County, North Carolina",338545,9203,9145,3906,5840,3670,4929,6034,53555,320695,8840,129758,NC,051,42727,16.69966790876066,6.812682069698978,518.7904365228958,0.7673541002520687,0.42813334924890456
37053,Currituck County,261.91,36.372174,-75.941224,"Currituck County, North Carolina",30601,1092,1206,573,622,666,599,586,2281,30401,244,11845,NC,053,5344,7.5030426630702935,2.0599409033347404,116.83784506128058,0.9502490790389332,0.054187821749415964
37055,Dare County,383.229,35.606269,-75.767536,"Dare County, North Carolina",37875,1238,1629,714,1039,819,775,1595,2497,37711,449,16836,NC,055,7809,6.621410198615789,2.666904252791637,98.83124711334477,0.9584423745162328,0.10194367925157079
37057,Davidson County,552.996,35.795131,-80.207107,"Davidson County, North Carolina",172954,6328,5840,3097,3549,2311,3180,4645,21970,171005,2749,69846,NC,057,28950,12.847577556211807,3.9358016207084154,312.7581392993801,0.8611021527103955,0.20178048478738228
37059,Davie County,263.699,35.929355,-80.542552,"Davie County, North Carolina",44122,1633,1859,597,859,585,792,1497,4110,43747,1045,17270,NC,059,7822,9.394929938052895,6.050955414012739,167.3195575258154,0.9272790772863574,0.368200719614686
37061,Duplin County,814.72,34.934403,-77.933543,"Duplin County, North Carolina",49335,1550,1939,625,803,527,887,1661,10006,48897,1209,20787,NC,061,7992,20.463423113892468,5.816135084427767,60.55454634721131,0.9758588970697929,0.34972506336904424
37063,Durham County,287.549,36.033828,-78.878125,"Durham County, North Carolina",332353,9974,9551,4252,6044,3729,5718,7240,36779,319644,9512,141847,NC,063,46508,11.50623818998636,6.7058168308106625,1155.8134439695496,0.4774982518047616,0.41972519556903143
37065,Edgecombe County,505.436,35.917077,-77.602742,"Edgecombe County, North Carolina",48736,1529,1664,847,1266,705,1215,1522,10407,47886,1971,19652,NC,065,8748,21.732865555694776,10.029513535518014,96.42368173220744,0.9595378559950558,0.6812335491663482
37067,Forsyth County,408.046,36.132466,-80.256961,"Forsyth County, North Carolina",389977,12867,12891,4922,8396,5383,6491,9950,55059,379232,9963,159925,NC,067,60900,14.518553286642478,6.229795216507738,955.7182278468604,0.568544835619627,0.382271829725876
37069,Franklin County,491.802,36.088247,-78.283082,"Franklin County, North Carolina",74386,2583,3278,839,1376,704,1564,1999,8062,72924,1090,28529,NC,069,12343,11.055345290987878,3.820673700445161,151.25192658834246,0.9345901111791316,0.1927222235933069
37071,Gaston County,355.751,35.292834,-81.177364,"Gaston County, North Carolina",234881,8508,8553,3477,3953,2713,4192,5666,31272,231321,4793,93576,NC,071,37062,13.518876366607442,5.122039839275028,660.2398868871768,0.7029922954687817,0.2951136710171056
37073,Gates County,340.612,36.442135,-76.702355,"Gates County, North Carolina",10376,414,304,263,293,267,241,226,961,10217,98,4192,NC,073,2008,9.405892140550064,2.3377862595419847,30.462813993634985,0.9895511256245451,0.0760486857546995
37075,Graham County,291.968,35.348364,-83.830915,"Graham County, North Carolina",8072,217,262,146,159,121,247,247,531,7929,372,3524,NC,075,1399,6.696935300794552,10.556186152099887,27.646865409907935,0.9908324281150026,0.7226721342971907
37077,Granville County,531.991,36.299884,-78.657634,"Granville County, North Carolina",60877,2103,2097,1009,1521,833,1147,1411,8643,56955,800,22474,NC,077,10121,15.175138267052937,3.559668950787577,114.43238701406604,0.9513436016464831,0.17218637798881323
37079,Greene County,266.734,35.481959,-77.681688,"Greene County, North Carolina",20486,546,590,312,306,212,468,482,3788,17998,403,6912,NC,079,2916,21.04678297588621,5.830439814814815,76.80310721542811,0.9684655371103426,0.35085055911204394
37081,Guilford County,645.988,36.079065,-79.788665,"Guilford County, North Carolina",547940,18297,17599,7239,10176,5840,8536,13888,76227,522969,14751,219718,NC,081,81575,14.575816157363056,6.713605621751518,848.22009077568,0.6174582396302055,0.42033801739858406
37083,Halifax County,723.738,36.251438,-77.644842,"Halifax County, North Carolina",47675,1455,1855,717,1160,885,1018,1536,10563,46293,1847,20383,NC,083,8626,22.817704620568986,9.061472795957416,65.87328563651486,0.9734387840262303,0.6050681338144951
37085,Harnett County,595.099,35.36866,-78.871665,"Harnett County, North Carolina",139150,4115,3843,1668,2348,1710,1926,2548,18684,135930,1929,49845,NC,085,18158,13.745310086073715,3.8699969906710803,233.8266406093776,0.8970172707745168,0.19660297853785844
37087,Haywood County,553.56,35.558882,-82.981307,"Haywood County, North Carolina",62662,2226,2479,702,1799,1186,1525,2172,8116,61836,1078,27123,NC,087,12089,13.125040429523255,3.9744865980901816,113.19820796300311,0.9519051732252172,0.20482421760744593
37089,Henderson County,372.948,35.336427,-82.479583,"Henderson County, North Carolina",118484,3860,4616,1546,2746,2060,2621,5014,13529,117036,1806,51067,NC,089,22463,11.559691035237021,3.536530440401825,317.6957645569892,0.8588554527613689,0.17036584070961372
37091,Hertford County,353.164,36.363517,-76.981616,"Hertford County, North Carolina",19908,573,816,221,471,281,446,712,4180,18232,656,8285,NC,091,3520,22.926722246599386,7.917923958961979,56.37041148021883,0.977762746613236,0.5150937468022079
37093,Hoke County,390.153,35.017233,-79.241964,"Hoke County, North Carolina",53835,1602,1773,549,893,437,591,1129,9072,53101,917,19258,NC,093,6974,17.084424022146475,4.761657492989927,137.98432922468876,0.9406270841702855,0.26675879919348866
37095,Hyde County,612.342,35.408157,-76.153687,"Hyde County, North Carolina",4592,75,126,82,188,96,129,128,867,3909,215,1939,NC,095,824,22.17958557175748,11.0881897885508,7.4990773130048245,1.0,0.7645301639059162
37097,Iredell County,574.437,35.806251,-80.874524,"Iredell County, North Carolina",196544,7264,6851,3003,4132,2392,3272,4613,19518,194540,2790,76344,NC,097,31527,10.03289811863884,3.6545111600125746,342.15066230065264,0.8477280758043045,0.1796485600678321
