county_fips,county_name,state,centroid_lat,centroid_lon,eligible_population,poverty_pct,rurality_index,high_risk_index,population_weight_before,mean_travel_time_minutes_before,p90_travel_time_minutes_before,pct_over_45_minutes_before,travel_time_coverage_before,population_weight_after,mean_travel_time_minutes_after,p90_travel_time_minutes_after,pct_over_45_minutes_after,travel_time_coverage_after,population_nearest_facility_changed,population_newly_over_30_minutes,population_newly_over_45_minutes,population_newly_over_60_minutes,access_metric,mean_travel_time_delta,p90_travel_time_delta,pct_over_threshold_delta,shock_mean_travel_time_component,shock_p90_travel_time_component,shock_threshold_component,deterioration_component,vulnerability_poverty_component,vulnerability_rurality_component,vulnerability_risk_component,vulnerability_component,shock_score,alert_level
37001,Alamance County,NC,36.043954,-79.400573,27653,13.351076,0.813338,0.265511,27653.0,12.823622030159479,22.69447336683417,0.0,1.0,27653.0,12.823622030159479,22.69447336683417,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44503586666666667,0.813338,0.265511,0.5016690466666667,0.0,NONE
37003,Alexander County,NC,35.920951,-81.177467,5930,12.571775,0.939686,0.13273,5930.0,27.515758853288368,40.43488888888889,0.0,1.0,5930.0,27.515758853288368,40.43488888888889,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4190591666666667,0.939686,0.13273,0.4893484666666667,0.0,NONE
37005,Alleghany County,NC,36.489356,-81.132299,2248,15.979056,0.981761,0.367809,2248.0,16.039951067615657,21.09002860858258,0.0,1.0,2248.0,16.039951067615657,21.09002860858258,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326352,0.981761,0.367809,0.61792508,0.0,NONE
37007,Anson County,NC,34.974972,-80.109763,3544,21.725224,0.984329,0.633073,3544.0,17.873896726862302,24.96200785854617,0.0,1.0,3544.0,17.873896726862302,24.96200785854617,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241741333333334,0.984329,0.633073,0.7748902533333333,0.0,NONE
37009,Ashe County,NC,36.443469,-81.499334,5312,13.490662,0.974645,0.23518,5312.0,19.328335843373495,26.903571428571432,0.0,1.0,5312.0,19.328335843373495,26.903571428571432,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44968873333333337,0.974645,0.23518,0.5428229933333333,0.0,NONE
37011,Avery County,NC,36.07209,-81.920285,3000,10.157116,0.970887,0.294143,3000.0,18.721896666666666,31.68730688935282,0.0,1.0,3000.0,18.721896666666666,31.68730688935282,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33857053333333337,0.970887,0.294143,0.5149372133333333,0.0,NONE
37013,Beaufort County,NC,35.482313,-76.842014,8658,17.820925,0.979097,0.378357,8658.0,20.197440517440516,37.25898384201077,0.1066066066066066,1.0,8658.0,20.197440517440516,37.25898384201077,0.1066066066066066,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5940308333333333,0.979097,0.378357,0.6448485333333333,0.0,NONE
37015,Bertie County,NC,36.059043,-76.962364,3311,16.135216,0.992238,0.57504,3311.0,24.286517668378135,34.40279381443299,0.0,1.0,3311.0,24.286517668378135,34.40279381443299,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378405333333334,0.992238,0.57504,0.6853196133333334,0.0,NONE
37017,Bladen County,NC,34.591938,-78.539489,5396,21.961737,0.988037,0.505634,5396.0,20.787144180874723,33.11725660377358,0.0,1.0,5396.0,20.787144180874723,33.11725660377358,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7320578999999999,0.988037,0.505634,0.74092446,0.0,NONE
37019,Brunswick County,NC,34.038754,-78.227765,37505,9.232123,0.921747,0.084816,37505.0,21.493467537661644,34.79208955223881,0.0,1.0,37505.0,21.493467537661644,34.79208955223881,0.0,1.0,0.0,0.0,0.0,0.0,travel_time_minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3077374333333333,0.921747,0.084816,0.42506387333333334,0.0,NONE
